ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1982-01-01,0.7704914560382103,0.7447489029134786,0.7961830138445621,0.7704914560382103,0.7704914560382103,0.0,0.0,0.0,0.0,0.0,0.0,0.7704914560382103
1983-01-01,0.7724466504848767,0.7465834710146748,0.7996973589242649,0.7724466504848767,0.7724466504848767,0.0,0.0,0.0,0.0,0.0,0.0,0.7724466504848767
1984-01-01,0.7818486681379926,0.7579212221860107,0.8086289996141598,0.7818486681379926,0.7818486681379926,0.0,0.0,0.0,0.0,0.0,0.0,0.7818486681379926
1985-01-01,0.7912764447435826,0.7673697108645292,0.816694824411464,0.7912764447435826,0.7912764447435826,0.0,0.0,0.0,0.0,0.0,0.0,0.7912764447435826
1986-01-01,0.8006864439849248,0.7762912252755606,0.8243810115469807,0.8006864439849248,0.8006864439849248,0.0,0.0,0.0,0.0,0.0,0.0,0.8006864439849248
1987-01-01,0.8101022538954261,0.7844626594278434,0.8367345620136074,0.8101022538954261,0.8101022538954261,0.0,0.0,0.0,0.0,0.0,0.0,0.8101022538954261
1988-01-01,0.8195180638059276,0.7961374536160959,0.8464951594535965,0.8195180638059276,0.8195180638059276,0.0,0.0,0.0,0.0,0.0,0.0,0.8195180638059276
1989-01-01,0.8289652320961008,0.8037798205860369,0.8550683589620504,0.8289652320961008,0.8289652320961008,0.0,0.0,0.0,0.0,0.0,0.0,0.8289652320961008
1990-01-01,0.8383865884510551,0.8141706484099298,0.8646273397325968,0.8383865884510551,0.8383865884510551,0.0,0.0,0.0,0.0,0.0,0.0,0.8383865884510551
1991-01-01,0.8478207277440912,0.8216023293749872,0.8725989753136115,0.8478207277440912,0.8478207277440912,0.0,0.0,0.0,0.0,0.0,0.0,0.8478207277440912
1992-01-01,0.8572548670371274,0.8327240065367337,0.8826265970311499,0.8572548670371274,0.8572548670371274,0.0,0.0,0.0,0.0,0.0,0.0,0.8572548670371274
1993-01-01,0.8667251246169815,0.8417626263202125,0.8894175541155733,0.8667251246169815,0.8667251246169815,0.0,0.0,0.0,0.0,0.0,0.0,0.8667251246169815
1994-01-01,0.8761695071761255,0.8513810748624779,0.90194156057366,0.8761695071761255,0.8761695071761255,0.0,0.0,0.0,0.0,0.0,0.0,0.8761695071761255
1995-01-01,0.885615170438586,0.8617641100532032,0.9114871949716112,0.885615170438586,0.885615170438586,0.0,0.0,0.0,0.0,0.0,0.0,0.885615170438586
1996-01-01,0.8950608337010465,0.8692408409433996,0.9201111296701756,0.8950608337010465,0.8950608337010465,0.0,0.0,0.0,0.0,0.0,0.0,0.8950608337010465
1997-01-01,0.9045323755035483,0.8775568354286244,0.930308571787876,0.9045323755035483,0.9045323755035483,0.0,0.0,0.0,0.0,0.0,0.0,0.9045323755035483
1998-01-01,0.9139780387765352,0.8888128308575373,0.9400777419870506,0.9139780387765352,0.9139780387765352,0.0,0.0,0.0,0.0,0.0,0.0,0.9139780387765352
1999-01-01,0.9234203308304663,0.897414709629481,0.9493931277240054,0.9234203308304663,0.9234203308304663,0.0,0.0,0.0,0.0,0.0,0.0,0.9234203308304663
2000-01-01,0.9328626228843974,0.9063144636312341,0.9582021515261037,0.9328626228843974,0.9328626228843974,0.0,0.0,0.0,0.0,0.0,0.0,0.9328626228843974
2001-01-01,0.942330784231627,0.9168569050957928,0.9673696328587641,0.942330784231627,0.942330784231627,0.0,0.0,0.0,0.0,0.0,0.0,0.942330784231627
2002-01-01,0.9517730762855581,0.9266087449591018,0.9789853305238899,0.9517730762855581,0.9517730762855581,0.0,0.0,0.0,0.0,0.0,0.0,0.9517730762855581
2003-01-01,0.9612153683394892,0.935200998581272,0.9858950959620426,0.9612153683394892,0.9612153683394892,0.0,0.0,0.0,0.0,0.0,0.0,0.9612153683394892
2004-01-01,0.9706576603934203,0.946342073859311,0.9965437223392001,0.9706576603934203,0.9706576603934203,0.0,0.0,0.0,0.0,0.0,0.0,0.9706576603934203
2005-01-01,0.9801258217406499,0.9551634198803222,1.0061790266289452,0.9801258217406499,0.9801258217406499,0.0,0.0,0.0,0.0,0.0,0.0,0.9801258217406499
