ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1996-01-01,1.0668084559909385,1.0004229741780888,1.1327690547249274,1.0668084559909385,1.0668084559909385,-0.0030965058345798365,-0.0030965058345798365,-0.0030965058345798365,-0.0030965058345798365,-0.0030965058345798365,-0.0030965058345798365,0.0,0.0,0.0,1.0637119501563588
1997-01-01,1.0589645510851156,0.986933163382371,1.1149333718512922,1.0589645510851156,1.0589645510851156,-0.009907162371866148,-0.009907162371866148,-0.009907162371866148,-0.009907162371866148,-0.009907162371866148,-0.009907162371866148,0.0,0.0,0.0,1.0490573887132495
1998-01-01,1.0511420776134617,0.9698816407159896,1.1109822826239928,1.0511420776134617,1.0511420776134617,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,0.0,0.0,0.0,1.041385063826948
1999-01-01,1.0433216026376526,0.963252851754697,1.1014625232042232,1.0433216026376526,1.0433216026376526,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,0.0,0.0,0.0,1.0358350414225166
2000-01-01,1.0355011276618433,0.9647288966665283,1.0968621050191876,1.0355011276618433,1.0355011276618433,-0.003096505834574306,-0.003096505834574306,-0.003096505834574306,-0.003096505834574306,-0.003096505834574306,-0.003096505834574306,0.0,0.0,0.0,1.032404621827269
2001-01-01,1.0276592267271965,0.9525486167564224,1.0840076991528769,1.0276592267271965,1.0276592267271965,-0.009907162371845869,-0.009907162371845869,-0.009907162371845869,-0.009907162371845869,-0.009907162371845869,-0.009907162371845869,0.0,0.0,0.0,1.0177520643553506
2002-01-01,1.0198387517513874,0.9412257878089255,1.071071189773203,1.0198387517513874,1.0198387517513874,-0.009757013786521135,-0.009757013786521135,-0.009757013786521135,-0.009757013786521135,-0.009757013786521135,-0.009757013786521135,0.0,0.0,0.0,1.0100817379648663
2003-01-01,1.0120182767755783,0.9376620586407917,1.0724941509967212,1.0120182767755783,1.0120182767755783,-0.007486561215156984,-0.007486561215156984,-0.007486561215156984,-0.007486561215156984,-0.007486561215156984,-0.007486561215156984,0.0,0.0,0.0,1.0045317155604214
2004-01-01,1.0041978017997695,0.9327609130043016,1.0658997725761163,1.0041978017997695,1.0041978017997695,-0.0030965058346320686,-0.0030965058346320686,-0.0030965058346320686,-0.0030965058346320686,-0.0030965058346320686,-0.0030965058346320686,0.0,0.0,0.0,1.0011012959651373
2005-01-01,0.9963559008651224,0.9174709652142538,1.050206057255593,0.9963559008651224,0.9963559008651224,-0.009907162371882739,-0.009907162371882739,-0.009907162371882739,-0.009907162371882739,-0.009907162371882739,-0.009907162371882739,0.0,0.0,0.0,0.9864487384932397
