ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,gdp_china,gdp_china_lower,gdp_china_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,price,price_lower,price_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2017-01-01,43730786.23060405,57432971.30228252,71188527.58293289,43730786.23060405,43730786.23060405,0.47542481246380186,0.47542481246380186,0.47542481246380186,0.5075366831010678,0.5075366831010678,0.5075366831010678,0.47542481246380186,0.47542481246380186,0.47542481246380186,-0.03211187063726596,-0.03211187063726596,-0.03211187063726596,0.0,0.0,0.0,64521487.073183596
2018-01-01,45370152.860814266,63378478.87146978,77779041.72789478,45370152.860814266,45370152.860814266,0.5659635702381597,0.5659635702381597,0.5659635702381597,0.58328682317577,0.58328682317577,0.58328682317577,0.5659635702381597,0.5659635702381597,0.5659635702381597,-0.017323252937610233,-0.017323252937610233,-0.017323252937610233,0.0,0.0,0.0,71048006.55617176
2019-01-01,47009519.49102449,70429424.51804584,84494519.64064956,47009519.49102449,47009519.49102449,0.6536409116175624,0.6536409116175624,0.6536409116175624,0.6568741271614703,0.6568741271614703,0.6568741271614703,0.6536409116175624,0.6536409116175624,0.6536409116175624,-0.0032332155439079233,-0.0032332155439079233,-0.0032332155439079233,0.0,0.0,0.0,77736864.66584131
2020-01-01,48648886.12123469,74813591.00236453,88735725.44506493,48648886.08017749,48648886.16700694,0.6842395370508542,0.6842395370508542,0.6842395370508542,0.6722333657573074,0.6722333657573074,0.6722333657573074,0.6842395370508542,0.6842395370508542,0.6842395370508542,0.01200617129354675,0.01200617129354675,0.01200617129354675,0.0,0.0,0.0,81936377.43886805
2021-01-01,50292744.16687014,82623793.95228769,97362784.1958463,50292744.03008573,50292744.30233039,0.7931845714719737,0.7931845714719737,0.7931845714719737,0.7914005782761966,0.7914005782761966,0.7914005782761966,0.7931845714719737,0.7931845714719737,0.7931845714719737,0.0017839931957771347,0.0017839931957771347,0.0017839931957771347,0.0,0.0,0.0,90184172.89701864
2022-01-01,51932110.79708036,89699541.21928973,102868065.03048037,51932110.543239474,51932111.05147843,0.8547288267587061,0.8547288267587061,0.8547288267587061,0.8635381913153487,0.8635381913153487,0.8635381913153487,0.8547288267587061,0.8547288267587061,0.8547288267587061,-0.008809364556642609,-0.008809364556642609,-0.008809364556642609,0.0,0.0,0.0,96319982.92977199
2023-01-01,53571477.427290566,96164948.54959184,109021904.94336323,53571477.05647525,53571477.81014115,0.9180808420596258,0.9180808420596258,0.9180808420596258,0.93786822200569,0.93786822200569,0.93786822200569,0.9180808420596258,0.9180808420596258,0.9180808420596258,-0.01978737994606411,-0.01978737994606411,-0.01978737994606411,0.0,0.0,0.0,102754424.53411573
2024-01-01,55210844.05750078,102762114.78103697,116288542.11445715,55210843.548154876,55210844.55067791,0.9847507338738594,0.9847507338738594,0.9847507338738594,1.015914754230549,1.015914754230549,1.015914754230549,0.9847507338738594,0.9847507338738594,0.9847507338738594,-0.03116402035668973,-0.03116402035668973,-0.03116402035668973,0.0,0.0,0.0,109579763.26091988
2025-01-01,56854702.10313622,109559153.1228448,123277792.5938728,56854701.457886234,56854702.76014012,1.053270875544588,1.053270875544588,1.053270875544588,1.0962246358899286,1.0962246358899286,1.0962246358899286,1.053270875544588,1.053270875544588,1.053270875544588,-0.0429537603453404,-0.0429537603453404,-0.0429537603453404,0.0,0.0,0.0,116738103.96613325
2026-01-01,58494068.73334644,117675710.28053586,130765168.93619978,58494067.94680385,58494069.567536004,1.1226587178145249,1.1226587178145249,1.1226587178145249,1.1787504146922378,1.1787504146922378,1.1787504146922378,1.1226587178145249,1.1226587178145249,1.1226587178145249,-0.05609169687771305,-0.05609169687771305,-0.05609169687771305,0.0,0.0,0.0,124162944.93727984
2027-01-01,60133435.36355665,125026409.10901634,138748059.30835995,60133434.38146313,60133436.39679344,1.192404171792604,1.192404171792604,1.192404171792604,1.2616338052026872,1.2616338052026872,1.2616338052026872,1.192404171792604,1.192404171792604,1.192404171792604,-0.0692296334100833,-0.0692296334100833,-0.0692296334100833,0.0,0.0,0.0,131836794.5552825
2028-01-01,61772801.99376687,133018697.03745995,146414601.06405124,61772800.82816726,61772803.16896611,1.2640775655064718,1.2640775655064718,1.2640775655064718,1.3464451354489277,1.3464451354489277,1.3464451354489277,1.2640775655064718,1.2640775655064718,1.2640775655064718,-0.08236756994245602,-0.08236756994245602,-0.08236756994245602,0.0,0.0,0.0,139858415.152561
2029-01-01,63416660.03940231,141411702.83871695,154555930.95974296,63416658.67354921,63416661.40225964,1.337597961523478,1.337597961523478,1.337597961523478,1.4331034679983068,1.4331034679983068,1.4331034679983068,1.337597961523478,1.337597961523478,1.337597961523478,-0.09550550647482867,-0.09550550647482867,-0.09550550647482867,0.0,0.0,0.0,148242655.23473427
2030-01-01,65056026.66961253,149749712.11061174,164043070.91212052,65056025.13059835,65056028.27001001,1.4128751582821684,1.4128751582821684,1.4128751582821684,1.5215186012893673,1.5215186012893673,1.5215186012893673,1.4128751582821684,1.4128751582821684,1.4128751582821684,-0.10864344300719893,-0.10864344300719893,-0.10864344300719893,0.0,0.0,0.0,156972070.6476503
